SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,Other remarks,
606182,Kitemu,Kampala West ,Urban,B,Camusat,M Patrick Kalibbala,Faridah Nantege,0.2763965,32.4714604,,
606156,Biwolobo,Mbarara ,Urban,A,Camusat,Thomasi Seruyange,Faridah Nantege,-0.4521136,31.1833756,,
606135,Zombo,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,2.5241853,30.9084026,,
606158,Nakivale,Mbarara ,Urban,A,Camusat,Thomasi Seruyange,Faridah Nantege,-0.793643938,30.98082983,,
606191,Isingiro Town,Mbarara ,Urban,A,Camusat,Thomasi Seruyange,Faridah Nantege,-0.77042,30.8109458,,
606162,Wandi,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,3.0992433,30.9691333,,
606178,Nyamatunga,Fort Portal   ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,-0.036681667,29.83469833,,
606150,Buseruka Road,Hoima  ,Rural,C,I-Engineering,Latima Musoke,Allan Kavuma,1.500013333,31.26777,,
606138,Kyebando Nsooba,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.347115,32.58077333,,
606179,Nabisego,Jinja ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.869160267,33.60083743,,
606155,Nyamwirima,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.362625,30.6707833,,
606204,Luyanzi,Mukono ,Urban,C,Netis,Samuel Naseke,William Bwire,0.353806667,32.94781667,,
606196,Bwondha,Jinja ,Urban,A,Netis,Emmanuel Kafuko,William Bwire,0.182536667,33.56422333,,
606213,Ndejje University,Luwero ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.608621667,32.48746833,,
606185,Bugobi,Jinja ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.7142645,33.77256623,,
606187,Pajimu,Gulu ,Rural,A,I-Engineering,Moses Kaganda,Allan Kavuma,3.35950471,32.80689833,,
606214,Rwengobe,Fort Portal   ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,0.381075,30.42340333,,
606142,Kalaki,Soroti  ,Rural,B,Netis,Moses Wandera,William Bwire,1.817671667,33.33633667,,
606154,Bangaladeshi,Soroti  ,Rural,B,Netis,Moses Wandera,William Bwire,1.520106667,32.70308333,,
606160,Nyapea,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,2.4593325,30.9559018,,
606223,Pekasa_Hostel,Kampala South ,Urban,B,Netis,Salim Kinene,William Bwire,0.32217,32.61600667,,
606206,Kabuga Hill,Fort Portal   ,Urban,A,Camusat,Thomasi Seruyange,Faridah Nantege,0.2314,30.47686333,,
606163,Acholi Pii,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.7687653,33.0372783,,
606200,Lacor Hospital,Gulu ,Rural,B,I-Engineering,Moses Kaganda,Allan Kavuma,2.7639513,32.252029,,
606218,Masajja Zone B/Masajja_Town,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.274965,32.57245167,,
606201,Ibuje,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,1.9027596,32.3824985,,
606194,Igara,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.47585967,30.1044643,,
606210,Namungalwe,Jinja ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.716490067,33.49386188,,
606140,Kobulubulu,Soroti  ,Rural,C,Netis,Moses Wandera,William Bwire,1.720571667,33.12883667,,
606193,Mahango,Fort Portal   ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,0.115885,29.99692,,
606219,Kinuka,Masaka ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.3101359,31.142395,,
606175,Namanve,Kampala East  ,Urban,B,Netis,Samuel Naseke,William Bwire,0.36437495,32.6904031,,
606184,Omot,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.688115,33.213505,,
606205,Semuto,Luwero ,Urban,C,I-Engineering,Robert Otim,Allan Kavuma,0.620446284,32.32725601,,
605739,Aboke,Lira ,Rural,B,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.3157498,32.68372487,,
606177,Negulumye,Luwero ,Urban,C,Netis,Benbridge Mulongo,William Bwire,0.549305,32.55531667,,
606131,Namwezi,Mukono ,Urban,A,Netis,Samuel Naseke,William Bwire,0.431603333,33.13897,,
606137,Kapujan,Mbale  ,Rural,C,Netis,Moses Wandera,William Bwire,1.737688883,33.92322625,,
606132,Luwero Town,Luwero ,Urban,C,I-Engineering,Robert Otim,Allan Kavuma,0.846116667,32.48298833,,
606143,Lusalira,Mityana ,Urban,C,Camusat,Patrick Kinyera,Faridah Nantege,0.536788333,31.34206667,,
606164,Patongo,Lira ,Rural,B,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.7527163,33.3069182,,
606202,Katikamu C,Luwero ,Urban,C,I-Engineering,Robert Otim,Allan Kavuma,0.72885,32.51898167,,
606211,Goli,Arua  ,Rural,B,I-Engineering,Innocent Ayiko,Allan Kavuma,2.38794735,31.02752283,,
606141,Kanseera,Mityana ,Urban,C,Camusat,Patrick Kinyera,Faridah Nantege,0.6612669,31.4091797,,
606172,Dodos,Soroti  ,Rural,C,Netis,Moses Wandera,William Bwire,1.957791583,33.8190752,,
606149,Bweyale 2,Lira ,Rural,B,I-Engineering,Latima Musoke,Allan Kavuma,1.96314567,32.15121968,,
606188,Buhimba,Hoima  ,Rural,C,Camusat,Stephen Rwabwogo,Faridah Nantege,1.348335,31.32087167,,
606161,Aripia,Arua  ,Rural,B,I-Engineering,Innocent Ayiko,Allan Kavuma,3.15851921,31.01334623,,
606153,Adumi,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,3.0712356,30.7949561,,
606159,Akara,Gulu ,Rural,A,I-Engineering,Moses Kaganda,Allan Kavuma,3.25679,32.29062667,,
606224,Kyanika,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.3386595,29.7387749,,
606166,Merewa,Arua  ,Rural,A,I-Engineering,Innocent Ayiko,Allan Kavuma,3.557696667,31.37127667,,
606208,Padea C,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,2.35249,30.89837,,
606167,Pakele,Gulu ,Rural,B,I-Engineering,Moses Kaganda,Allan Kavuma,3.3543951,31.8556612,,
606197,Forest Mall,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,3.566956667,30.99735833,,
606170,Midigo,Arua  ,Rural,C,I-Engineering,Innocent Ayiko,Allan Kavuma,3.61161893,31.24545269,,
606231,Protea Hotel Kampala,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.3287489,32.5875891,,
606222,Naanywa,Masaka ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.518005,31.4202217,,
606203,Nabugabo,Masaka ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.3179194,31.8682975,,
606198,Mbale Resort,Mbale  ,Rural,B,Netis,Jude Musana,William Bwire,1.071635,34.19585,,
606190,Kisimula,Luwero ,Urban,B,I-Engineering,Robert Otim,Allan Kavuma,0.669661174,32.18839738,,
606230,Akilok 2,Gulu ,Rural,B,I-Engineering,Moses Kaganda,Allan Kavuma,3.53939049,33.44922279,,
606216,Karenga,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,3.48645329,33.69319865,,
606068,Sigulu East,Jinja ,Rural,B,Netis,Emmanuel Kafuko,William Bwire,0.09792,33.79149,,
606226,Masonde,Masaka ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.8528633,31.5148461,,
606195,Senyi Landing Site,Mukono ,Urban,C,Netis,Samuel Naseke,William Bwire,0.146593333,33.04525,,
606199,Namagera,Mukono ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.575486667,33.14692333,,
606186,Wol,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,3.122163,33.2385291,,
606235,Ntinda Valley,Kampala East  ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.3529317,32.6141967,,
606192,Rubuguri,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.141747772,29.68175277,,
606065,Kocgoma,Gulu ,Rural,A,I-Engineering,Moses Kaganda,Allan Kavuma,2.604626667,32.16796833,,
606227,Kupoth,Soroti  ,Rural,B,Netis,Moses Wandera,William Bwire,3.306888333,34.12842167,,
606238,Morulem,Soroti  ,Rural,C,Netis,Moses Wandera,William Bwire,2.587888333,33.76389667,,
606234,Kireka Zone C,Kampala South ,Urban,B,Netis,Salim Kinene,William Bwire,0.339001667,32.64125667,,
606254,Nabisolo,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,1.058305,34.22484667,,
