SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,IENG_to_New_Vendor,CAM_to_New_Vendor,NET_to_IENG,,,
609657,Kazinga Kasangati,TBC,TBC,TBC,NET_to_IENG,Benbridge Mulongo,Kenneth Andama,0.4331762,32.6071258,#N/A,#N/A,NET_to_IENG,Netis,Benbridge Mulongo,
609703,Kirimya,TBC,TBC,TBC,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.356222,31.7152542,#N/A,#N/A,#N/A,Camusat,M Patrick Kalibbala,
609580,Bweyale Cell,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,1.9538229,32.1379175,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
609151,Katuulo,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.4484061,31.2781987,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609795,Bunyandeti,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.3372336,34.0524663,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
609917,Egarra,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,2.8732635,30.9834488,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
609027,Bukorwa,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.7556725,29.7021369,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
609076,Ihunga,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-0.83269,30.18192,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
609570,Kaminga,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.6770033,30.9812483,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
609350,Sanga,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.4864575,30.8965131,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609081,Ishongororo B,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,0.0566301,30.4863616,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
701816,Keyi,TBC,TBC,TBC,I-Engineering,Moses Kaganda,Allan Kavuma,2.79175,32.291817,#N/A,#N/A,#N/A,I-Engineering,Moses Kaganda,
701271,Bugana,TBC,TBC,TBC,IENG_to_New_Vendor,Latima Musoke,Allan Kavuma,1.991516667,31.47647833,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Latima Musoke,
606399,Mairye Estate,TBC,TBC,TBC,I-Engineering,Robert Otim,Allan Kavuma,0.5428583,32.6627833,#N/A,#N/A,#N/A,I-Engineering,Robert Otim,
609756,Bunga Tc,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.26821,32.6203263,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
608685,Okere,TBC,TBC,TBC,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.6796696,33.2378199,#N/A,#N/A,#N/A,I-Engineering,Muhamood Kyongo,
609540,Kadengele,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.1923217,33.8518983,#N/A,#N/A,#N/A,Netis,Jude Musana,
607320,Kiwoko,TBC,TBC,TBC,I-Engineering,Robert Otim,Allan Kavuma,0.843165,32.361055,#N/A,#N/A,#N/A,I-Engineering,Robert Otim,
701111,Kihorongwa,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.6940475,30.95635,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
609010,Birere,TBC,TBC,TBC,Camusat,Thomasi Seruyange,Faridah Nantege,-0.6762791,30.6729243,#N/A,#N/A,#N/A,Camusat,Thomasi Seruyange,
609148,Katuna,TBC,TBC,TBC,Camusat,Denis Masaba,Faridah Nantege,-1.4142114,30.0133328,#N/A,#N/A,#N/A,Camusat,Denis Masaba,
606849,Namwiwa,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,1.08986,33.549895,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
605104,Nakasongola,TBC,TBC,TBC,IENG_to_New_Vendor,Robert Otim,Allan Kavuma,1.3854782,32.5095199,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Robert Otim,
609516,Kabubu,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.2251406,33.2981633,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
609754,Totolim,TBC,TBC,TBC,Netis,Moses Wandera,Kenneth Andama,1.5432301,34.0879628,#N/A,#N/A,#N/A,Netis,Moses Wandera,
609481,Buwaaya,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.511262,33.505979,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
607097,City Complex(Kiyembe Lane),TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3119211,32.5781528,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
605951,Camp Swahili,TBC,TBC,TBC,Netis,Moses Wandera,Kenneth Andama,1.734319167,33.61032175,#N/A,#N/A,#N/A,Netis,Moses Wandera,
608571,Kimiru,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.27729,30.8751534,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
606622,Nondwe Zone,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.45657,33.5964646,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
609529,Komolicher,TBC,TBC,TBC,Netis,Moses Wandera,Kenneth Andama,3.68374125,33.94856382,#N/A,#N/A,#N/A,Netis,Moses Wandera,
